id,camera_path,device,viewport,timestep,quad_tess,geo_quad,stpa,quad_inst,poly_tess,umap_x,umap_y,seq
34,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,9,4541.1611,4765.899,4765.5356,5204.8634,2372.817,1.536228,1.5859145,4
35,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,19,4623.123,4902.7298,4898.1191,5398.6352,2356.3565,1.7022791,2.2128425,4
36,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,29,4695.3647,4950.103,4948.9271,5443.3026,2346.4484,2.1084785,2.1682618,4
37,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,39,4585.4732,4794.0477,4793.3124,5221.823,2336.2739,2.3432617,1.678319,4
38,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,49,3914.5685,4114.8199,4117.2596,4334.5586,2277.9458,2.8497252,2.0659726,4
39,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,59,3713.386,3844.7343,3854.4558,3793.3965,2246.1008,2.9416058,1.4587414,4
40,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,69,7893.4074,8056.2001,8030.3225,5511.4638,3302.5099,2.9348617,2.4591103,4
41,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,79,7121.6955,7392.9501,136.7175,5306.9542,3282.9079,3.2915192,0.8903734,4
42,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,89,8030.3225,8912.0205,8927.2961,5354.695,3577.7663,3.4532285,1.4893491,4
43,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,99,11970.8868,13009.9917,154.082,5614.4448,4156.9671,6.116181,1.26187,4
44,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,0,4585.1368,4780.846,4792.2098,5120.0131,2335.0519,1.4059898,1.2952738,5
45,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,9,4421.0228,4596.2642,4611.1849,4893.134,2323.6792,1.2330344,1.6293128,5
46,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,19,4035.9034,4178.3661,4186.4827,4367.8804,2312.2457,1.3346788,1.3195701,5
47,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,29,3498.4607,3538.4702,3551.9436,3665.4742,2186.997,0.87260145,0.9242569,5
48,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,39,2720.8219,2780.3728,2784.5845,2827.2867,1932.0535,1.1891176,0.5804935,5
49,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,49,1812.3822,1845.1819,1854.9297,1850.0977,1469.62,1.3214166,-0.035820376,5
50,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,59,1453.1842,1475.2744,1485.4427,1477.6112,1241.3601,-1.7829239,0.31369677,5
51,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,69,4851.7311,5030.9909,5018.871,3955.9466,2857.7961,2.9337623,1.2790132,5
52,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,79,3405.8089,3465.2916,34.3922,2952.0121,2202.4879,1.402207,0.06887369,5
53,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,89,4150.0664,4366.0496,4368.7963,3544.6915,2550.9163,2.1350296,-0.27696088,5
54,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,99,11934.3135,12977.5748,38.9008,5614.4448,4154.7564,6.104229,1.2018712,5
55,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,0,5472.3754,5900.1227,5915.1997,5339.5985,2924.6607,2.3273153,2.4313524,6
56,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,9,4970.5742,5351.0274,5371.2616,5298.4062,2805.2065,2.0424218,2.0226157,6
57,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,19,4689.3758,4813.9875,4824.3921,5084.1943,2691.0657,1.692993,1.7876147,6
58,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,29,4559.3814,4766.626,4769.9,5108.7134,2568.4228,2.087398,2.4446347,6
59,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,39,4552.0757,4738.7975,4749.601,5132.2056,2484.2992,2.2176301,1.7484769,6
60,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,49,4541.8211,4721.6137,4719.8308,5235.3828,2405.8819,2.096142,1.9909912,6
61,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,59,5293.47,5444.2509,5438.0928,5445.1995,2648.754,2.560951,1.8256227,6
62,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,69,7888.4261,8151.8195,8125.325,5525.1061,3315.474,2.7675614,2.6450999,6
