id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
32,complex-planes,2x Intel Xeon E5-2630 v4,2048,10,38.5367,34.428,16.4107,19.2633,37.6002,33.8379,37.2677,33.9334,2.8860946,1.1477524,3
33,complex-planes,AMD Ryzen 7 1800X,512,0,305.7515,261.872,100.1824,129.3904,299.5276,242.9036,287.6887,235.4071,3.7282565,3.703417,4
34,complex-planes,AMD Ryzen 7 1800X,512,1,305.1991,261.3293,100.3585,128.9534,299.5941,241.5004,275.1599,233.688,4.324013,3.76852,4
35,complex-planes,AMD Ryzen 7 1800X,512,2,302.9734,260.4757,99.0933,118.5094,297.8699,239.3117,287.2903,231.7814,3.8967698,4.08882,4
36,complex-planes,AMD Ryzen 7 1800X,512,3,303.0983,260.8201,101.9281,129.0572,298.684,240.1687,290.6504,235.3838,3.540582,4.0499916,4
37,complex-planes,AMD Ryzen 7 1800X,512,4,304.4863,263.7479,105.2453,133.1702,299.7359,243.7633,293.8247,239.5565,3.579975,3.5102215,4
38,complex-planes,AMD Ryzen 7 1800X,512,5,307.332,267.5614,109.7355,137.7492,302.9229,250.291,297.3156,245.7679,3.7537298,3.5189404,4
39,complex-planes,AMD Ryzen 7 1800X,512,6,309.7855,271.5347,115.0133,142.5822,303.8488,255.9482,301.8376,252.5756,3.6236525,3.134036,4
40,complex-planes,AMD Ryzen 7 1800X,512,7,310.3701,270.7628,116.501,143.9528,305.6095,256.1443,302.5343,254.3643,3.381746,2.6755724,4
41,complex-planes,AMD Ryzen 7 1800X,512,8,309.4213,270.5093,109.5908,144.5797,303.8839,256.4964,304.6319,255.0539,3.2463398,3.0384815,4
42,complex-planes,AMD Ryzen 7 1800X,512,9,308.701,269.872,117.8289,146.1243,305.4172,254.942,303.0184,255.0194,3.279841,2.3413553,4
43,complex-planes,AMD Ryzen 7 1800X,512,10,309.25,267.6552,115.0943,145.367,304.351,254.4911,302.9523,253.8348,3.4559612,2.2517736,4
44,complex-planes,AMD Ryzen 7 1800X,1024,0,80.7663,69.7102,27.1217,34.5832,78.8588,64.3194,76.0954,62.3418,3.8866298,3.5301125,5
45,complex-planes,AMD Ryzen 7 1800X,1024,1,80.8675,69.5463,27.0924,34.2643,79.0233,64.1009,75.9146,62.2049,3.7202137,3.5631745,5
46,complex-planes,AMD Ryzen 7 1800X,1024,2,80.8224,69.1797,26.6934,34.0811,78.5182,63.7133,76.1887,61.8919,3.3270044,3.3215437,5
47,complex-planes,AMD Ryzen 7 1800X,1024,3,80.88,69.3404,27.5187,34.6794,78.1867,63.9808,77.1772,63.0001,3.067857,3.256005,5
48,complex-planes,AMD Ryzen 7 1800X,1024,4,80.9468,70.0383,28.5249,35.6762,79.3739,64.8067,77.9393,64.0553,3.4129255,3.0528762,5
49,complex-planes,AMD Ryzen 7 1800X,1024,5,81.103,71.1076,30.0315,37.0593,79.9616,66.6138,78.8103,65.5244,3.5236788,2.6375358,5
