id,camera_path,device,viewport,timestep,quad_tess,geo_quad,stpa,quad_inst,poly_tess,umap_x,umap_y,seq
36,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,29,316.8056,311.1359,311.2472,223.9772,135.3068,-1.8494408,1.767442,4
37,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,39,295.0671,293.1477,293.3739,223.9461,131.1424,-1.9309832,1.8522588,4
38,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,49,281.8362,284.4117,284.3405,223.9622,128.1273,-1.6100113,1.8831446,4
39,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,59,258.9721,261.5117,253.2761,223.9411,125.4475,-0.7387233,1.5972675,4
40,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,69,177.8885,185.0574,172.6901,182.808,111.4022,0.66982305,0.6559059,4
41,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,79,209.9323,215.4569,2.7293,186.8628,115.9946,-0.31845728,0.95970684,4
42,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,89,251.8352,264.094,17.2039,204.2605,126.9479,-0.32294813,0.5513303,4
43,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,99,250.8227,264.2853,25.3873,194.6646,125.7099,-1.0040576,1.0253932,4
44,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,0,229.8539,270.6697,270.5101,223.9541,126.8902,-4.127726,1.3817528,5
45,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,9,264.6714,267.2211,266.9821,223.9607,125.1762,-3.7331107,1.4525645,5
46,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,19,257.7512,263.481,263.2875,223.9591,123.757,-3.356724,1.1003265,5
47,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,29,252.0758,256.5379,256.4576,223.9556,122.6565,-2.3249347,1.5107998,5
48,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,39,242.8587,245.196,245.3542,223.9311,121.5797,-2.3157275,1.490717,5
49,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,49,215.3117,223.897,223.3713,217.6373,118.5692,-2.2167728,1.5117134,5
50,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,59,152.1769,159.0994,146.1931,164.7729,103.1086,-2.5254126,0.552375,5
51,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,69,76.7837,78.3687,69.8246,80.1301,62.7699,-5.5239673,-0.7813816,5
52,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,79,90.4494,91.8071,0.6862,87.9887,67.8937,-6.1121163,-1.2196605,5
53,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,89,116.9085,121.8708,4.3977,110.7726,83.7752,-6.125556,-1.0281857,5
54,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,99,100.8533,104.7904,6.5371,101.7938,74.5406,-6.5456457,-1.3542072,5
55,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,0,466.4941,508.1998,504.765,224.0143,161.3104,-0.74537253,2.8925855,6
56,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,9,458.5873,507.1534,503.9865,223.9933,150.9083,-0.9100285,3.3261492,6
