id,camera_path,device,viewport,timestep,quad_tess,geo_quad,stpa,quad_inst,poly_tess,umap_x,umap_y,seq
36,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,29,74.2843,75.2315,75.4318,71.8092,39.2881,2.5315905,1.6261579,4
37,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,39,76.5574,77.8428,78.1091,70.2756,39.6931,2.3074138,1.4401578,4
38,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,49,83.221,84.6769,37.9984,72.3505,41.566,1.9196864,1.6607783,4
39,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,59,86.9066,90.1957,18.1726,72.0404,42.8407,1.9605072,1.2371285,4
40,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,69,88.3923,96.61,11.8087,71.2088,44.6413,2.055737,1.0482359,4
41,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,79,92.1175,99.6671,8.6512,68.1989,45.7107,2.2762213,0.86779165,4
42,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,89,95.4554,102.7259,5.2333,66.4187,45.9884,2.7132344,0.5981483,4
43,diagonal_x,NVIDIA Quadro M6000 24GB,1024 1024,99,97.7651,102.6207,1.2164,63.9149,46.0407,2.80652,0.11866339,4
44,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,0,68.4294,70.3319,70.5025,70.8622,38.432,3.3839889,0.15361741,5
45,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,9,63.0473,65.7804,65.9352,67.2812,37.61,2.935801,0.51742524,5
46,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,19,56.0406,59.5206,59.5763,60.4653,36.1376,2.4639525,0.37761372,5
47,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,29,48.4025,51.5682,51.6193,51.6978,33.5834,1.8467857,-0.09271284,5
48,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,39,43.2672,45.727,45.7987,44.9016,31.0382,0.6463651,1.0232837,5
49,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,49,44.178,46.3396,12.5441,44.2435,31.1744,0.033067968,0.92559445,5
50,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,59,41.7381,43.9694,5.0239,41.2555,29.8766,2.1335354,-1.4255278,5
51,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,69,42.7285,44.3896,3.1195,39.8694,29.8614,2.275899,-2.5851243,5
52,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,79,43.7918,45.2509,2.2457,38.6087,29.9777,2.328667,-3.51637,5
53,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,89,45.191,46.4057,1.3345,38.4442,30.3831,2.4538198,-4.1044946,5
54,diagonal_x,NVIDIA Quadro M6000 24GB,2048 2048,99,46.7163,47.717,0.3051,37.9566,30.7037,3.032034,-3.6855013,5
55,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,0,89.3455,87.2463,87.7824,72.4685,44.0453,3.728622,1.2516271,6
56,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,9,84.3007,81.88,82.203,72.438,43.1908,3.2322109,1.8172029,6
57,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,19,80.7161,77.9211,78.1586,72.4318,42.414,3.2636213,1.6121805,6
58,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,29,78.6368,76.0659,76.1313,72.4344,41.8365,2.6822064,1.5353408,6
59,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,39,79.7868,78.3754,78.4455,72.1464,41.8817,2.4452958,1.5342523,6
60,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,49,83.0461,82.8665,63.7861,72.2011,42.5195,1.6451871,1.135891,6
61,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,59,90.7219,91.4511,45.6869,72.1412,43.667,1.5175943,0.6146335,6
62,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,69,101.9504,103.2841,35.4878,72.1891,39.1241,1.82912,0.7585963,6
63,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,79,114.7581,116.7923,28.6604,72.4764,47.5418,2.7474093,1.1764352,6
64,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,89,127.0222,129.8324,18.9996,72.4722,44.9178,3.7270043,1.1844271,6
65,diagonal_x,NVIDIA Quadro M6000 24GB,512 512,99,135.5811,138.9109,4.7941,72.4732,47.7092,3.7750108,0.69448966,6
66,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,0,126.0581,105.9708,105.7984,137.5749,74.4591,0.7131961,5.989816,7
67,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,9,125.7174,105.6263,105.1151,137.661,71.2484,0.30466974,6.6139584,7
68,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,19,126.1551,105.8846,105.5123,137.4378,73.3929,0.59443635,7.0468035,7
69,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,29,125.8314,106.7635,106.7518,136.6787,69.8295,0.6705746,6.2778287,7
70,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,39,127.4891,110.3152,110.4404,136.1543,69.4295,0.75337374,6.891352,7
71,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,49,137.7967,121.5315,53.6383,144.2086,71.5359,0.9095357,6.298021,7
72,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,59,143.9408,133.575,25.5227,147.262,72.5263,0.77314085,5.3641157,7
73,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,69,148.1323,147.0059,16.5344,147.4835,77.9478,0.9992151,5.442067,7
74,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,79,151.8783,157.7772,12.1227,142.5454,75.1287,1.1743672,5.43409,7
75,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,89,156.0262,165.688,7.3013,142.2837,79.0133,1.344567,5.482153,7
76,diagonal_x,NVIDIA TITAN X (Pascal),1024 1024,99,156.5881,169.7678,1.6856,138.2856,75.6149,1.4347265,4.910549,7
77,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,0,113.8654,102.3491,102.36,120.3923,65.5192,1.5761523,4.6964726,8
78,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,9,106.0731,97.7059,97.8521,110.0432,66.8195,1.338271,4.8450146,8
79,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,19,94.7616,90.8348,91.0084,97.3937,60.8232,1.5317116,4.1777196,8
80,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,29,81.9471,80.3826,80.5977,83.2896,56.1567,1.5734801,3.5844152,8
81,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,39,72.7209,72.1964,72.5911,73.4813,53.3072,1.7156761,2.5108664,8
82,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,49,74.1708,74.4596,18.1288,74.6102,52.3711,2.1558526,1.8766718,8
83,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,59,70.3423,71.2327,7.093,70.5975,50.5495,1.5562893,1.4349282,8
84,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,69,70.9582,72.4617,4.3759,69.932,50.2374,1.9509655,1.2104447,8
85,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,79,71.5226,73.9568,3.1446,69.484,50.8549,2.0506296,0.6808334,8
86,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,89,73.5224,76.0474,1.861,70.2006,51.3753,2.3892243,0.41994482,8
87,diagonal_x,NVIDIA TITAN X (Pascal),2048 2048,99,74.9215,77.8913,0.4232,70.6654,51.1986,2.6498332,-0.078385286,8
