id,camera_path,device,viewport,timestep,ao-NA-1-NA,ao-NA-5-NA,pathtracer-NA-NA-10,pathtracer-NA-NA-5,scivis-false-1-NA,scivis-false-5-NA,scivis-true-1-NA,scivis-true-5-NA,umap_x,umap_y,seq
30,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,8,17.2501,16.885,5.2551,5.8495,17.2916,17.4083,17.2875,17.3394,-4.3948545,-0.10058635,3
31,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,9,16.92,16.2165,4.8914,5.3981,16.9804,17.032,16.9842,17.0441,-3.783555,-0.408671,3
32,complex-vdb-volume,2x Intel Xeon E5-2630 v4,2048,10,16.5273,15.618,5.0527,5.6305,16.7482,16.7322,16.6505,16.6462,-3.6817033,-0.5058752,3
33,complex-vdb-volume,AMD Ryzen 7 1800X,512,0,136.9456,134.7211,42.6852,46.8391,137.0995,137.561,132.5314,131.9451,-7.0129805,4.589545,4
34,complex-vdb-volume,AMD Ryzen 7 1800X,512,1,135.8699,133.1257,39.1828,43.1042,135.9398,136.0668,128.0288,128.2401,-6.8481455,4.17364,4
35,complex-vdb-volume,AMD Ryzen 7 1800X,512,2,131.4695,127.4868,33.4673,37.1402,132.4679,129.9952,121.5025,121.6588,-6.7038703,4.5748124,4
36,complex-vdb-volume,AMD Ryzen 7 1800X,512,3,129.7436,124.5665,31.044,33.9479,130.5797,130.2708,118.9401,118.4358,-7.282733,4.3771214,4
37,complex-vdb-volume,AMD Ryzen 7 1800X,512,4,130.1304,125.8109,32.3174,35.3727,130.9344,130.8666,120.124,120.2788,-7.214646,4.6060224,4
38,complex-vdb-volume,AMD Ryzen 7 1800X,512,5,132.7549,129.3445,36.4909,40.0453,133.3111,133.301,124.809,125.1933,-7.3203864,4.4219656,4
39,complex-vdb-volume,AMD Ryzen 7 1800X,512,6,135.0404,133.8842,42.6432,46.9903,135.6922,135.0822,131.9637,131.7377,-7.011156,4.005717,4
40,complex-vdb-volume,AMD Ryzen 7 1800X,512,7,133.7329,132.5667,43.6192,47.8879,134.1072,134.2678,134.4585,134.6058,-6.8319273,4.186777,4
41,complex-vdb-volume,AMD Ryzen 7 1800X,512,8,130.7779,127.1569,40.5265,44.7421,131.3556,131.3336,131.3548,131.3456,-6.9700437,4.1703324,4
42,complex-vdb-volume,AMD Ryzen 7 1800X,512,9,126.6063,120.6574,37.389,41.3254,123.7123,119.238,127.9425,128.3443,-6.1676,3.9173388,4
43,complex-vdb-volume,AMD Ryzen 7 1800X,512,10,123.6543,115.8027,38.8973,43.4858,125.8037,126.1032,125.6569,125.7267,-6.6082377,3.7004344,4
44,complex-vdb-volume,AMD Ryzen 7 1800X,1024,0,35.4916,35.1058,11.3649,12.3408,35.6478,35.7403,34.3473,34.2945,-5.101639,-0.7647482,5
45,complex-vdb-volume,AMD Ryzen 7 1800X,1024,1,35.2837,34.4679,10.3639,11.3079,35.3501,35.3882,33.4529,33.4556,-5.263151,-0.5288698,5
46,complex-vdb-volume,AMD Ryzen 7 1800X,1024,2,34.1705,33.1125,8.839,9.7643,34.4474,34.4528,31.7388,31.7852,-5.7831964,0.101519175,5
47,complex-vdb-volume,AMD Ryzen 7 1800X,1024,3,33.5324,32.3158,8.0855,8.9384,33.9226,33.8881,30.9251,30.8687,-5.7447953,0.16413781,5
48,complex-vdb-volume,AMD Ryzen 7 1800X,1024,4,33.7615,32.6356,8.4591,9.3028,34.0562,34.0538,31.3923,31.3332,-5.71674,0.75902486,5
49,complex-vdb-volume,AMD Ryzen 7 1800X,1024,5,34.5548,33.4865,9.6326,10.6227,34.6436,34.663,32.4695,32.4975,-5.7217073,1.0507429,5
50,complex-vdb-volume,AMD Ryzen 7 1800X,1024,6,35.168,34.7786,11.4535,12.5538,35.1437,35.1493,34.2967,34.2752,-5.5060816,1.0713416,5
51,complex-vdb-volume,AMD Ryzen 7 1800X,1024,7,34.9242,34.3618,11.6465,12.7333,34.9465,34.906,34.7946,34.9584,-5.0741696,1.3799181,5
52,complex-vdb-volume,AMD Ryzen 7 1800X,1024,8,34.0099,32.6208,10.6673,11.8767,34.1692,34.2308,34.1671,34.1618,-5.382526,2.29887,5
53,complex-vdb-volume,AMD Ryzen 7 1800X,1024,9,33.1268,31.5015,9.9092,11.0536,33.3812,33.4754,33.2379,33.4341,-5.692636,1.9409568,5
54,complex-vdb-volume,AMD Ryzen 7 1800X,1024,10,32.2389,30.212,10.3449,11.4658,32.7809,32.8095,32.8111,32.749,-5.251744,2.4381526,5
55,complex-vdb-volume,AMD Ryzen 7 1800X,2048,0,9.0424,8.93,2.8936,3.196,9.1099,9.0966,8.749,8.7547,0.10785007,-2.7487879,6
56,complex-vdb-volume,AMD Ryzen 7 1800X,2048,1,8.9936,8.7846,2.6372,2.8974,9.0091,9.0075,8.503,8.4957,-0.18139564,-2.779711,6
57,complex-vdb-volume,AMD Ryzen 7 1800X,2048,2,8.7549,8.4123,2.2367,2.4922,8.765,8.7606,8.0943,8.0873,-0.54227924,-2.9182806,6
